2025-04-10 00:05:30.752 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  org.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-tomge-consumer-group-1, groupId=tomge-consumer-group] Node -1 disconnected.
2025-04-10 00:05:31.002 [org.springframework.kafka.KafkaListenerEndpointContainer#1-0-C-1] INFO  org.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-tomge-consumer-group-2, groupId=tomge-consumer-group] Node -1 disconnected.
2025-04-10 00:30:16.855 [kafka-coordinator-heartbeat-thread | tomge-consumer-group] INFO  org.apache.kafka.clients.consumer.internals.ConsumerCoordinator - [Consumer clientId=consumer-tomge-consumer-group-1, groupId=tomge-consumer-group] Group coordinator localhost:9092 (id: 2147483647 rack: null) is unavailable or invalid due to cause: session timed out without receiving a heartbeat response. isDisconnected: false. Rediscovery will be attempted.
2025-04-10 00:30:16.914 [kafka-coordinator-heartbeat-thread | tomge-consumer-group] INFO  org.apache.kafka.clients.consumer.internals.ConsumerCoordinator - [Consumer clientId=consumer-tomge-consumer-group-2, groupId=tomge-consumer-group] Group coordinator localhost:9092 (id: 2147483647 rack: null) is unavailable or invalid due to cause: session timed out without receiving a heartbeat response. isDisconnected: false. Rediscovery will be attempted.
2025-04-10 00:30:16.961 [kafka-coordinator-heartbeat-thread | tomge-consumer-group] INFO  org.apache.kafka.clients.consumer.internals.ConsumerCoordinator - [Consumer clientId=consumer-tomge-consumer-group-2, groupId=tomge-consumer-group] Requesting disconnect from last known coordinator localhost:9092 (id: 2147483647 rack: null)
2025-04-10 00:30:16.961 [kafka-coordinator-heartbeat-thread | tomge-consumer-group] INFO  org.apache.kafka.clients.consumer.internals.ConsumerCoordinator - [Consumer clientId=consumer-tomge-consumer-group-1, groupId=tomge-consumer-group] Requesting disconnect from last known coordinator localhost:9092 (id: 2147483647 rack: null)
2025-04-10 00:30:16.961 [kafka-coordinator-heartbeat-thread | tomge-consumer-group] INFO  org.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-tomge-consumer-group-2, groupId=tomge-consumer-group] Client requested disconnect from node 2147483647
2025-04-10 00:30:16.961 [kafka-coordinator-heartbeat-thread | tomge-consumer-group] INFO  org.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-tomge-consumer-group-1, groupId=tomge-consumer-group] Client requested disconnect from node 2147483647
2025-04-10 00:30:16.967 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  org.apache.kafka.clients.consumer.internals.ConsumerCoordinator - [Consumer clientId=consumer-tomge-consumer-group-1, groupId=tomge-consumer-group] Discovered group coordinator localhost:9092 (id: 2147483647 rack: null)
2025-04-10 00:30:16.967 [org.springframework.kafka.KafkaListenerEndpointContainer#1-0-C-1] INFO  org.apache.kafka.clients.consumer.internals.ConsumerCoordinator - [Consumer clientId=consumer-tomge-consumer-group-2, groupId=tomge-consumer-group] Discovered group coordinator localhost:9092 (id: 2147483647 rack: null)
2025-04-10 00:30:16.967 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  org.apache.kafka.clients.consumer.internals.ConsumerCoordinator - [Consumer clientId=consumer-tomge-consumer-group-1, groupId=tomge-consumer-group] Group coordinator localhost:9092 (id: 2147483647 rack: null) is unavailable or invalid due to cause: coordinator unavailable. isDisconnected: false. Rediscovery will be attempted.
